created_at,full_text,year
2021-02-25,@AriKoto7 @adearmando1 @Dennysiregar7 Kwkwk emang bisa kaya gitu Bang? Saya sebagai orang Batak ga pernah dengar istilah dikeluarkan dari marga. Dipikir nya kek mana? Tertawa lah oppung Raja Batak kalo tahu ini. Ada ada aja marga Siregar yang gak suka sama Bang Denny,2021
2021-12-28,@Emily_Draws_ Pwro- esta negro qwq,2021
2021-05-16,@winniputry1 @AgoesAguss @ricosiswandi Orang batak jaranggg jadi bancettt..batak itu bukan pengecut bersembunyi dibalik ava palsu mau perang perang...kita perang ga lembek2 kaya lu bancet,2021
2021-12-23,Kepolisian Barito Timur Perketat Pengawasan Lalu Lintas Orang Guna Tekan Penularan Covid-19 https://t.co/URn2lxqyeS,2021
2021-08-22,@kecenganmu @Sunda_Fess Yg dimaksud tu Kanyut Kontol Penis. Itu jawaban yg kau mau,2021
2021-12-25,Polda Metro Jaya angkat bicara terkait kasus viral dua orang remaja yang dianiaya oleh dua anggota polisi hingga viral di Jakarta Timur. https://t.co/t9tTChVz9U,2021
2021-12-31,@ginodurando_ culiauuuuuuuuuuuuuuuuuuuuuu,2021
2021-12-23,@Munir_Timur @aniesbaswedan Pidato orang stres ga ada sedikitpun bobot dari pidatonya selain hanya bualan dan kepongahan.,2021
2021-06-10,Seandainya aksara jawa bisa dipakee terus dijadikan tulisan sehari hari bahkan disosmedd seru kali yaa pemakaian kaya org korea/cina/rusia dll yg pake huruf mereka sendiri Mari buat orang luar bingung wkw *btw selain jawa ada aksara sunda bali batak sama apalg yaa(?),2021
2021-12-31,@FabrizioRomano @SkySport @ChelseaFC @MatteoBarzaghi @ikhwnrfi dah kata negro babi botak ni sakai,2021
2021-05-02,mukanya kaya orang batak banget. kira kira marganya apa ya,2021
2021-12-30,PELI NEGRO &gt;&gt;&gt;&gt;&gt;&gt;&gt; #CRAVITY #크래비티 @CRAVITY_twt @CRAVITYstarship,2021
2021-12-07,@adriansz_ @convomf Klo muka Kristen biasanya kaya orang China gitu kulit putih atau orang batak rambut keriting btw maap nih nyebutin fisik Klo muka islam yg keliatannya kaya orang jawa atau mukanya ada arab²nya gitu alisnya tebel Cmiiw ya,2021
2021-07-18,baji mukanya kaya orang batak. hkbp mana lu ji??,2021
2021-12-23,Petaka Petang di Desa Tujuh Jeneponto Tewaskan 3 Orang Dewasa dan Balita Umur Setahun https://t.co/4fQDKoTfOw,2021
2021-12-23,@dwiplento Orang sini bilang pantai timur,2021
2021-03-31,@e100ss Semoga gak berdampak ke perputaran ekonomi. Orang kelas kaya gak berpikir ulang kalo mau invest buka usaha. Yg ngeri itu bukan teroris yg ngeri makin nambah nya jobless dan orang miskin,2021
2021-12-24,@barcastuff_idn Dia orang timur tengah kah?,2021
2021-12-31,@FreeSouLiz_GR Negros con ropa negra UWU,2021
2021-04-17,Gue pernah dikira orang batak sm temen kuliah. Pernah dibilang kaya orang makasar sama nasabah. Pdhl ak tu org jawa hey.,2021
2021-12-29,@stanmenfess Ada instansi yg pola mutasinya lebih dari 10thn? Ngasih tau aja dijipi bagian timur aja 5thn dah ajaib bisa balik homebase/jawa biasanya 6-7 thn baru mutasi dan ada yg lebih. Tapi ya terserah sih orang punya keinginannya masih masing.,2021
2021-03-20,ngaco ni kebiasaan orang Indonesia bersosial media. figur publik posting foto berduka yang isinya peti mati pake salib &amp; bunga yang komen masih aja ada kaya 'orang batak &amp; apa agamanya'. si pake logika. lagian nanya agama biar apa ya. kalo agamanya beda gak akan dikasih doa?,2021
2021-12-21,Halo Sahabat Mido Pada hari Selasa 21 Desember 2021 Kantor Imigrasi Kelas I TPI Jakarta Timur melantik 3 orang PNS Pemeriksa Keimigrasiaan Pemula tahun penerimaan 2019 bertempat di ruang aula lantai dua. https://t.co/bcUuqeDcaV,2021
2021-12-22,@gilang_un1ty Bukan orang timur sih kalo gak doyan pedes sama kek papa ku bang haha kalo gak ada sambal cabe rawit pun jadi,2021
2021-12-29,Buat rumah byk2 pastu org tak beli. Oversupply. Apa nak jadi dengan Malaysia ? (Isk mcm lagu pulak..) Orang timur..bangunlah!!! https://t.co/ixRqp4Xrcb,2021
2021-12-27,Aku tau cerita kejamnya mereka ke timor timur tu dari internet emang orang banyak taunya pas timor timur milih pisah dari indo aja,2021
2021-08-23,@notturrbaby @Sunda_Fess emang kontol orang sunda tuh item item semua?,2021
2021-12-21,@bumnbersatu Orang timur tengah mah nunggu kesempatan bagiannya jualan ayat Mas @bumnbersatu,2021
2021-12-31,@alter_negros Daw kamayo sg hilamunan nga pix mig haw... .hehehe,2021
2021-05-13,@LadyGege13 @msofyan Gk harus muka muka Chinese sih gua di sangka org Kristen karna muka gua kata temen gua itu kaya orang batak gue sampe heran sendiri -_-,2021
2021-12-30,Ahahahahhahaq Mmgv,2021
2021-12-26,Mau melakukan aktivitas air ekstrim Anda perlu mencoba keseruan #rafting #tubing di Jawa Timur harga mulai 500Rb /orang || Climax Adventure,2021
2021-12-29,@moshiruuu fokoff,2021
2021-02-07,LOL berlagak macam j&amp;t tu kau ada share dan tokey. Orang beli time sale kau kata batak. Kau kerja j&amp;t tu earn lebih dari 10k sebulan ke macam dah kaya sangat. Patutlah komisyen kena potong. Belum pape dah kufur nikmat.,2021
2021-01-07,@lofihc @initwtpuput @NE0KIDDOS @exonctforlyf @nctzenbase berarti simplenya orang korea sama kaya orang batak ngasih marga harus sesuatu keturunan dan marga pihak laki laki,2021
2021-12-28,@Jelantik5 Takut yeaa sama orang pake masker Masa sih orang pake masker dikirain dari timur tengah Justru ini sangat Indonesia Lebih baik buat narasi yg menyatukan bukan memecah belah Indonesia kan Bhineka tunggal Ika Kok masih bahas yg kayak gini Oke mas agung salam NKRI JAUHI PHOBIA,2021
2021-03-17,Prinsip keuangan dan usaha kaya orang Cina Prinsip pendidikan kaya orang Batak.,2021
2021-12-29,Tabung Kanak-Kanak Pertubuhan Bangsa-Bangsa Bersatu (UNICEF) mengecam pembunuhan dan pembakaran 35 orang termasuk empat kanak-kanak dan dua pegawai Save the Children di Timur Myanmar https://t.co/kcylITJwON,2021
2021-12-21,sebab orang timur selalunya dah prepare sebab dah pernah kena oso terang terang kat timur and this is from MTL,2021
2021-12-21,Pesan pagi untuk mutualan oppung sejagat raya: orang yang tenang akan survive melewati gelombang kehidupan . Tetap energik walau tubuh semakin ringkih termakan usia. Selamat pagi dari tepian kanal BKT di timur Jakarta. Horas! https://t.co/KyM5fDDRzf,2021
2021-07-04,@tynderfess tergantung jokesnya sih... kalo menegaskan steriotype sih ga masalah ya.. misalnya kaya : ehh pantesan orang batak suaranya kenceng orang dia suka ngegas.. ato ehh kamu suku jawa ya pantesan lemah lembut dan gemoyy.. hihi gituu...,2021
2021-12-22,@KemnakerRI berhasil menggagalkan dugaan 59 orang Calon Pekerja Migran Indonesia (CPMI) ilegal yang akan diproses untuk diberangkatkan ke Timur Tengah seperti Arab Saudi Qatar dan UEA,2021
2021-01-11,@inidoongie engga dia orang batak kemaren aku liat dia undangan pake kebaya pake ulos sama rambut nya disasak kaya ibu2 batak,2021
2021-12-24,@faizsadad_ A52s 5G biar aku bisa komunikasi sama orang tuaku yang jauh di timur indonesia ga burem mataku. semoga aku menang #GalaxyA52s5G,2021
2021-12-29,@QACKITTY @GeorgeNotFound @voicefulshelf68 CHUNGA RU MADRE,2021
2021-05-27,Tingkah gua ketika pak boss bilang kalo muka gua kaya muka orang Batak dan nonis pula https://t.co/HwO4vwCLO4,2021
2021-12-29,@Dusk4_s Manga god,2021
2021-12-27,@Aprillia_MAN Huahahahaha....ini kalau dh orang pekok....coba kamu tulis aja di google Partai Komunis di timur tengah....muncul tuh.,2021
2021-12-31,@ikhwnrfi @FabrizioRomano @SkySport @ChelseaFC @MatteoBarzaghi Pergi mampus sama itu negro sial,2021
2021-12-29,@OposisiCerdas Anda ini orang timur jangan disamakan dengan orang barat atau partai anda memang kebarat2an?,2021
2021-12-22,seperti Gili Raja Sapudi Raas dan Kangean. Selain itu orang Madura banyak tinggal di bagian timur Jawa Timur,2021
